number	title	pageid	namespace	length	touched
346	Neuseeländische_Alpen	15072		8214	20181216161020
347	Eisklettern	15081		5671	20181208141933
348	Rezzo_Schlauch	15288		11267	20181208141933
349	Paclitaxel	15470		16192	20181210113116
350	Sprengstoff	15611		25323	20181208141933
351	Claudia_Roth	15626		30681	20181211191827
352	Bergbau	15769		34535	20181216161020
353	Anden	15770		21758	20181219152336
354	Octanitrocuban	15808		2811	20181210113116
355	Geräusch	15852		6161	20181208141933
356	Nationalpark_Unteres_Odertal	15895		16122	20181123205843
357	Totes_Meer	15898		32169	20181216161020
358	Erlen_(Gattung)	16002		18566	20181208141933
359	Robinien	16004		9114	20181215154644
360	Einwegpfand	16007		37472	20181219074707
361	Edelkastanie	16051		46928	20181220072900
362	Rosskastanien	16052		13487	20181215154644
363	Ulmen	16054		17250	20181208141933
364	Berlin-Buch	16130		233433	20181216161020
365	Bikini-Atoll	16138		18816	20181215190345
366	Yann_Arthus-Bertrand	16187		13436	20181218140304
367	Kalkstein	16293		25959	20181203122042
368	Goldlärche	16470		6233	20181208124202
369	Frankfurt_am_Main	16565		268074	20181216191209
370	Gran_Chaco	16602		11242	20181119170454
371	Schwefelsäure	16729		38922	20181210113116
372	Bündnis_90	16747		5209	20181001113159
373	Neues_Forum	16749		20058	20181216183650
374	Lesum	16761		11546	20181208141933
375	Teufelsmoor	16765		11789	20181208141933
376	Marschland	16773		15844	20181208141933
377	Naturpark_Stechlin-Ruppiner_Land	16883		5677	20181123205843
378	Börde	16887		5110	20181217135425
379	Václav_Havel	16903		28619	20181218170609
380	Esbit	16955		4774	20181208141933
381	Streuobstwiese	17015		39581	20181208141933
382	Westerland	17110		19167	20181203211631
383	Trinitrotoluol	17122		14299	20181210113116
384	Allgäu	17136		45352	20181208141933
385	Oberschwaben	17137		26407	20181216200250
386	Aufwindkraftwerk	17176		47127	20181123205843
387	Methadon	17244		38912	20181217221139
388	BASF	17365		75906	20181216214716
389	Waldaihöhen	17384		2182	20181216161021
390	Nicotin	17509		46394	20181217085228
391	Geest	17511		7169	20181207235651
392	Abgasuntersuchung	17535		35979	20181208141934
393	Bruno_Cassirer	17552		13266	20181208141934
394	Anti-Atomkraft-Bewegung_in_Deutschland	17683		42428	20181208141934
395	Solarmodul	17796		32025	20181216161021
396	Aralsee	17801		39165	20181219172619
397	Ferghanatal	17808		8281	20181216161021
398	Karpfen	17862		28965	20181215154645
399	Hannover	17924		225784	20181218195405
400	Maronen-Röhrling	17976		11823	20181208141934
401	Naturpark_Wildeshauser_Geest	17981		11218	20181026150328
402	Nuklearkatastrophe_von_Tschernobyl	18002		158347	20181216161021
403	Weinstraße_(Region)	18034		2485	20171125161958
404	Bodenkunde	18058		8948	20181216161021
405	Hans_Wollschläger	18104		46556	20181208141934
406	Europäischer_Aal	18160		19541	20181219070206
407	Europäische_Äsche	18299		7531	20181219070206
408	Bachsaibling	18311		4758	20181126102836
409	Subtropen	18390		5927	20181026150328
410	Coregonus	18413		11400	20181216210819
411	Holzminden	18435		92753	20181215154645
412	Ropivacain	18476		3973	20181210113116
413	Sitka-Fichte	18523		22205	20181208141934
414	Diagenese	18545		4100	20181218202908
415	Thüringer_Wald	18556		76833	20181208141934
416	Kaiserslautern	18618		89497	20181217152419
417	Teutoburger_Wald	18651		29742	20181123205843
418	Marmorierte_Forelle	18668		9661	20181208141934
419	Ökologische_Landwirtschaft	18675		124828	20181218122751
420	Humus	18679		19434	20181216161021
421	Gaia-Hypothese	18813		13283	20181126193819
422	Homöostase	18814		4805	20181217141831
423	Johannes_Rau	18850		43905	20181208141934
424	Niagarafälle	18867		15426	20181216161021
425	Samoobrona_Rzeczpospolitej_Polskiej	18913		7388	20181030144128
426	Andrzej_Lepper	18951		21188	20181215154645
427	Bertha_von_Suttner	18971		33679	20181218140304
428	Abwasser	18972		18792	20181114172840
429	Naturpark	19122		17713	20181216161021
430	Libanon-Zeder	19137		14875	20181211222858
431	Wolf	19161		137575	20181220073336
432	Innovation	19167		36219	20181215154645
433	Hans_Blix	19171		10355	20181120214139
434	Bergulme	19175		10370	20181220072900
435	Australopithecus	19176		19553	20181129120530
436	Saurer_Regen	19178		15635	20181218130743
437	Bergsteigen	19182		25737	20181215154645
438	Forstwissenschaft	19191		8433	20181003063726
439	Weihrauch	19234		49148	20181220042244
440	Jacques_Villeneuve	19235		42374	20181208141934
441	Flensburg	19340		322173	20181216161021
442	Biotop	19343		20978	20181217141831
443	Rainer_Brüderle	19457		24973	20181215154645
444	Gregor_Mendel	19508		52906	20181211035218
445	Polskie_Stronnictwo_Ludowe	19595		23836	20181111200115
446	Ostfriesische_Inseln	19619		14630	20181208141934
447	Ernst_Haeckel	19714		81122	20181216161021
448	Mittelmeer-Bachforelle	19724		3608	20181208141934
449	Kykladen	19769		17642	20181216161021
450	Teufelsmauer_(Harz)	19869		21207	20181213211708
451	Cape_Canaveral_(Küstenabschnitt)	19884		3460	20181123205843
452	Insektizid	19904		18338	20181208141934
453	Wildschwein	19971		80247	20181217141216
454	William_Randolph_Hearst	20032		16501	20181218140304
455	Chlormethan	20041		7792	20181210113116
456	Iodmethan	20042		6547	20181210113116
457	Garten	20078		27729	20181216161021
458	Ölverschmutzung	20111		20759	20181208141934
459	Björn_Engholm	20181		11858	20181211135215
460	Morphin	20259		26442	20181217221139
461	Livland	20269		14488	20181107043115
462	Tropischer_Regenwald	20298		39683	20181205030959
463	Solarzelle	20400		113755	20181217095514
464	Lappwald	20403		9381	20181207021604
465	Talsperre	20498		30892	20181208141934
466	Schweizer_Alpen-Club	20503		10645	20181216161021
467	Kies	20517		7761	20181208141934
468	Bernhard_Vogel_(Ministerpräsident)	20527		20230	20181212190444
469	Wasserdampf	20570		38987	20181208141934
470	Amintore_Fanfani	20683		12522	20181122190129
471	Carsharing	20688		55139	20181216161021
472	Wisent	20812		99860	20181220073336
473	Polesien	20856		3757	20181216161021
474	Schleiereule	20870		41375	20181214180002
475	Fischerei	20919		47380	20181215154645
476	Fjord	20937		6671	20181216161021
477	Guayana	20958		4145	20181215154645
478	Eilenriede	21083		23082	20181208141934
479	Lawinenbulletin	21104		2330	20171125081516
480	Dollart	21113		17446	20181123205843
481	Wielki_Krzek	21116		1254	20181204203921
482	Europa-Rosarium	21146		6783	20181215154645
483	Pfälzerwald	21367		115800	20181208141934
484	Michail_Sergejewitsch_Gorbatschow	21413		47641	20181216161022
485	Stech-Fichte	21514		10919	20181215154645
486	Sauerland	21544		143263	20181208141935
487	Nauru	21599		89291	20181216161022
488	Heinrich_Lübke	21717		31498	20181208141935
489	Borkenkäfer	21824		18853	20181126102836
490	Weiden_(Gattung)	21826		53649	20181215154645
491	Aas	21962		7470	20181208141935
492	Normandie	22285		30285	20181219113340
493	Capsaicin	22336		27699	20181215154645
494	Flysch	22341		9574	20181208141935
495	Rasen	22808		6229	20181208141935
496	Alexander_von_Humboldt	22953		141762	20181217001042
497	Milchsäure	22960		17424	20181210113116
498	Schneeschuh	23026		17580	20181208141935
499	Internationale_Atomenergie-Organisation	23056		23357	20181216161022
500	Griechisches_Feuer	23207		12524	20181217141831
501	Hohe_Acht	23279		9844	20181208141935
502	Brigitte_Bardot	23432		24981	20181218140305
503	Atacama-Wüste	23561		9510	20181215154645
504	Rednitz	23741		12142	20181208141935
505	Victoriasee	23859		22327	20181123205843
506	Perlmutt	23881		8453	20181216161022
507	Reinhard_Mey	24075		40820	20181219123439
508	Alm_(Bergweide)	24228		27020	20181208141935
509	Allmende	24230		25720	20181210074105
510	Weltumwelttag	24283		5539	20181025154014
511	Adenin	24297		6159	20181210113116
512	VX	24310		21076	20181210113116
513	Oranje_(Fluss)	24509		7797	20181216161022
514	Nationalpark	24559		21621	20181216161022
515	Calciumoxid	24589		9828	20181210113116
516	Marines_Phytoplankton	24590		1691	20180418074456
517	Beelitz	24603		37968	20181214115432
518	Nachhaltige_Entwicklung	24673		31038	20181215154645
519	Naturschutz	24820		36646	20181214155842
520	Naturschutzgebiet_(Deutschland)	24823		23079	20181208141935
521	Thüringer_Schiefergebirge	24932		32302	20181208141935
522	Grube_Messel	25196		51155	20181215190345
523	Bundesvereinigung_gegen_Fluglärm	25199		2279	20181209224255
524	Lärm	25213		23478	20181213104025
525	Wasserkraftmaschine	25248		1050	20181003063727
526	Wasserrad	25253		37737	20181208141935
527	Balsam-Tanne	25368		29137	20181208141935
528	Kaplan-Turbine	25376		17780	20181218132731
529	Francis-Turbine	25450		5841	20181208141935
530	Wasserturbine	25504		12530	20181123205844
531	Canyoning	25756		6901	20181208141935
532	Pelton-Turbine	25787		22979	20181208141935
533	Nebrodi-Tanne	25807		5141	20181215154645
534	Bergsteiger	25831		59	20181006015041
535	Krill	26212		3014	20181003054738
536	Plankton	26228		9393	20181216161022
537	Geschützte_Landschaft	26402		4643	20181216161022
538	Petra_Kelly	26403		18994	20181215154645
539	Ökologische_Nische	26564		24624	20181212085223
540	Guanin	26589		6300	20181210113116
541	Siliciumdioxid	26598		19661	20181216161022
542	Isotopenuntersuchung	26617		15646	20181023233657
543	Phytoplankton	26621		2391	20181217141831
544	Cytosin	26640		8237	20181210113116
545	Atlantischer_Hering	26675		15695	20181210183531
546	Lärmschutz	26707		11983	20181207145652
547	Flächenversiegelung	26721		9681	20181023084845
548	Primärproduktion	26734		7242	20181119170455
549	Olymp	26747		20944	20181216170353
550	Gewässer	27087		12630	20181217003709
551	Neuntöter	27188		71365	20181208141935
552	Ephedrin	27198		14859	20181216161022
553	Haribo	27229		31839	20181215154645
554	Benthos	27477		5699	20181216161022
555	Meiobenthos	27478		1776	20171125094634
556	Kyoto-Protokoll	27534		79380	20181218131654
557	Landkreis_Gießen	27542		33594	20181210223559
558	Pufferbereich_(Bodenkunde)	27563		2872	20180608032803
559	Wattenmeer_(Nordsee)	27576		75966	20181216163324
560	Andreas_(Apostel)	27583		12603	20181217200255
561	Öland	27613		18879	20181209145505
562	Marianne_Birthler	27659		15578	20181212161258
563	Produktionsbiologie	27818		2921	20181126193819
564	Durian	28039		22728	20181216161022
565	Litschibaum	28131		32988	20181218093120
566	Untersee_(Bodensee)	28285		14235	20181123205844
567	Balthasar_Glättli	28337		9049	20181208141936
568	Kaliumnitrat	28351		13128	20181210113116
569	Klaus_Töpfer	28360		22179	20181211075411
570	Umweltprogramm_der_Vereinten_Nationen	28364		27889	20181216161022
571	Fleischfresser	28446		3035	20181217141831
572	Ralph_Nader	28455		10413	20181201203525
573	Pascal_Couchepin	28504		7351	20181210115650
574	Adolf_Ogi	28543		12799	20181210120713
575	Aale	28560		13921	20181202105634
576	Aasfliege	28577		1114	20180908121517
577	Aasfresser	28582		8378	20181206125721
578	Umweltbundesamt_(Deutschland)	28695		10029	20181214073024
579	Green_Party_(Irland)	28714		9586	20181213092142
580	Erdatmosphäre	28756		12822	20181217141831
581	Landschaft	28865		55817	20181216161022
582	Bundesnaturschutzgesetz	28869		18051	20181003063727
583	Schwarz-Erle	28897		51394	20181220072900
584	Biosphärenreservat	28905		33880	20181218160234
585	Gert_Bastian	28925		10588	20181218140305
586	Naturschutzbund_Deutschland	28930		39899	20181210235850
587	Meeresbiologie	28950		6055	20181029124339
588	Zugersee	28973		7314	20181215115409
589	Bundesministerium_für_Umwelt,_Naturschutz_und_nukleare_Sicherheit	28994		21458	20181208141936
590	Hydrazin	29012		16308	20181215154646
591	Tidefluss	29159		1516	20181112192251
592	Süßwasserwatt	29160		2027	20171125144129
593	Bruno_Kramm	29302		13786	20181208141936
594	Peloponnes	29508		12795	20181217141831
595	Julius_Kühn	29530		22850	20181208141936
596	Bundesamt_für_Strahlenschutz	29556		10704	20181208141936
597	Naturpark_Schlaubetal	29560		14449	20181123205844
598	Pilatus_(Berg)	29627		24578	20181208141936
599	Vierwaldstättersee	29629		28055	20181216161022
600	Schweizerische_Volkspartei	29952		63849	20181217075637
601	Wasserfall	30069		22358	20181208141936
602	Starnberger_See	30250		22365	20181123205844
603	Fanø	30474		15321	20181217094902
604	Gezeitenkraftwerk	30583		16348	20181215154646
605	Pumpspeicherkraftwerk	30625		33479	20181216133255
606	Wasserkraftwerk	30628		33112	20181123205844
607	Neobiota	30688		57813	20181210105525
608	Biologische_Schädlingsbekämpfung	30814		7529	20181005202004
609	Capronsäure	30871		4616	20181212124317
610	Caprylsäure	30873		5260	20181213052747
611	Caprinsäure	30874		7098	20181213064841
612	Laurinsäure	30875		3522	20181213075857
613	Biodiesel	30966		119467	20181215173735
614	Kataster	31215		26021	20181216161023
615	Heide_(Landschaft)	31219		19240	20181122190129
616	Brackwasser	31273		4955	20181129075801
617	Nekton	31306		6682	20181216161023
618	Karwendel	31598		37176	20181208141936
619	Hermann_von_Barth	31601		8210	20181208222024
620	Böhmische_Schweiz	31636		8860	20181123205844
621	Königin-Sirikit-Staudamm	31723		3296	20181219124527
622	Wachsender_Felsen	31766		5456	20181208141936
623	Ameisensäure	31782		25152	20181215180939
624	Angeln_(Fischfang)	31799		50450	20181211211834
